,age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42,24,3,172987,13,2,11,2,1,1,0,0,50,1,1
43,49,3,94638,9,5,1,5,1,2,0,0,40,1,1
44,25,3,289980,9,1,3,1,1,1,0,0,35,1,1
45,57,4,337895,13,2,4,2,2,1,0,0,40,1,2
46,53,3,144361,9,2,10,2,1,1,0,0,38,1,1
47,44,3,128354,14,3,2,5,1,2,0,0,40,1,1
48,41,1,101603,11,2,7,2,1,1,0,0,40,1,1
49,29,3,271466,11,1,4,1,1,1,0,0,43,1,1
50,25,3,32275,10,2,2,3,5,2,0,0,40,1,1
51,18,3,226956,9,1,5,4,1,2,0,0,30,5,1
52,47,3,51835,15,2,4,3,1,2,0,1902,60,9,2
53,50,4,251585,13,3,2,1,1,1,0,0,55,1,2
54,47,7,109832,9,3,2,1,1,1,0,0,60,1,1
55,43,3,237993,10,2,11,2,1,1,0,0,40,1,2
56,46,3,216666,3,2,10,2,1,1,0,0,40,6,1
57,35,3,56352,11,2,5,2,1,1,0,0,40,8,1
58,41,3,147372,9,2,1,2,1,1,0,0,48,1,1
59,30,3,188146,9,2,10,2,1,1,5013,0,40,1,1
60,30,3,59496,13,2,6,2,1,1,2407,0,40,1,1
61,32,6,293936,4,4,12,1,1,1,0,0,40,5,1
62,48,3,149640,9,2,8,2,1,1,0,0,40,1,1
63,42,3,116632,16,2,4,2,1,1,0,0,45,1,2
64,29,3,105598,10,3,11,1,1,1,0,0,58,1,1
65,36,3,155537,9,2,7,2,1,1,0,0,40,1,1
66,28,3,183175,10,3,1,1,1,2,0,0,40,1,1
67,53,3,169846,9,2,1,3,1,2,0,0,40,1,2
68,49,7,191681,10,2,2,2,1,1,0,0,50,1,2
69,25,6,200681,10,1,12,4,1,1,0,0,40,1,1
70,19,3,101509,10,1,4,4,1,1,0,0,32,1,1
71,31,3,309974,13,5,6,4,2,2,0,0,40,1,1
72,29,2,162298,13,2,6,2,1,1,0,0,70,1,2
73,23,3,211678,10,1,10,1,1,1,0,0,40,1,1
74,79,3,124744,10,2,4,6,1,1,0,0,20,1,1
75,27,3,213921,9,1,5,4,1,1,0,0,40,6,1
76,40,3,32214,12,2,1,2,1,1,0,0,40,1,1
77,67,6,212759,6,2,12,2,1,1,0,0,2,1,1
78,18,3,309634,7,1,5,4,1,2,0,0,22,1,1
79,31,5,125927,4,2,9,2,1,1,0,0,40,1,1
80,18,3,446839,9,1,6,1,1,1,0,0,30,1,1
81,52,3,276515,13,2,5,2,1,1,0,0,40,2,1
82,46,3,51618,9,2,5,3,1,2,0,0,40,1,1
83,59,3,159937,9,2,6,2,1,1,0,0,48,1,1
84,44,3,343591,9,3,7,1,1,2,14344,0,40,1,2
85,53,3,346253,9,3,6,4,1,2,0,0,35,1,1
86,49,5,268234,9,2,13,2,1,1,0,0,40,1,2
87,33,3,202051,14,2,4,2,1,1,0,0,50,1,1
88,30,3,54334,5,1,6,1,1,1,0,0,40,1,1
89,43,4,410867,16,1,4,1,1,2,0,0,50,1,2
90,57,3,249977,11,2,4,2,1,1,0,0,40,1,1
91,37,3,286730,10,3,7,5,1,2,0,0,40,1,1
92,28,3,212563,10,3,10,5,2,2,0,0,25,1,1
93,30,3,117747,9,2,6,3,3,2,0,1573,35,5,1
94,34,5,226296,13,2,13,2,1,1,0,0,40,1,2
95,29,5,115585,10,1,3,1,1,1,0,0,50,1,1
96,48,2,191277,16,2,4,2,1,1,0,1902,60,1,2
97,37,3,202683,10,2,6,2,1,1,0,0,48,1,2
98,48,3,171095,12,3,2,5,1,2,0,0,40,10,1
99,32,4,249409,9,1,5,4,2,1,0,0,40,1,1
100,76,3,124191,14,2,2,2,1,1,0,0,40,1,2
101,44,3,198282,13,2,2,2,1,1,15024,0,60,1,2
102,47,2,149116,14,1,4,1,1,2,0,0,50,1,1
103,20,3,188300,10,1,11,4,1,2,0,0,40,1,1
104,29,3,103432,9,1,7,1,1,1,0,0,40,1,1
105,32,7,317660,9,2,7,2,1,1,7688,0,40,1,2
106,17,6,304873,6,1,12,4,1,2,34095,0,32,1,1
107,30,3,194901,7,1,3,4,1,1,0,0,40,1,1
108,31,5,189265,9,1,1,1,1,2,0,0,40,1,1
109,42,3,124692,9,2,3,2,1,1,0,0,40,1,1
110,24,3,432376,13,1,6,6,1,1,0,0,40,1,1
111,38,3,65324,15,2,4,2,1,1,0,0,40,1,2
112,56,2,335605,9,2,5,2,1,1,0,1887,50,11,2
113,28,3,377869,10,2,6,3,1,2,4064,0,25,1,1
114,36,3,102864,9,1,10,4,1,2,0,0,40,1,1
115,53,3,95647,5,2,3,2,1,1,0,0,50,1,1
116,56,7,303090,10,2,6,2,1,1,0,0,50,1,1
117,49,5,197371,11,2,7,2,2,1,0,0,40,1,2
118,55,3,247552,10,2,6,2,1,1,0,0,56,1,1
119,22,3,102632,9,1,7,1,1,1,0,0,41,1,1
120,21,3,199915,10,1,5,4,1,2,0,0,40,1,1
121,40,3,118853,13,2,2,2,1,1,0,0,60,1,1
122,30,3,77143,13,1,2,4,2,1,0,0,40,12,1
123,29,1,267989,13,2,4,2,1,1,0,0,50,1,2
124,19,3,301606,10,1,5,4,2,1,0,0,35,1,1
125,47,3,287828,13,2,2,3,1,2,0,0,40,1,2
126,20,3,111697,10,1,1,4,1,2,0,1719,28,1,1
127,31,3,114937,12,2,1,2,1,1,0,0,40,1,2
128,35,6,129305,9,2,12,2,1,1,0,0,40,1,1
129,39,3,365739,10,3,7,1,1,1,0,0,40,1,1
130,28,3,69621,12,1,6,1,1,2,0,0,60,1,1
131,24,3,43323,9,1,5,1,1,2,0,1762,40,1,1
132,38,2,120985,9,2,7,2,1,1,4386,0,35,1,1
133,37,3,254202,13,2,6,2,1,1,0,0,50,1,1
134,46,3,146195,12,3,11,1,2,2,0,0,36,1,1
135,38,4,125933,14,2,4,2,1,1,0,0,40,13,2
136,43,2,56920,9,2,7,2,1,1,0,0,60,1,1
137,27,3,163127,11,2,1,3,1,2,0,0,35,1,1
138,20,3,34310,10,1,6,4,1,1,0,0,20,1,1
139,49,3,81973,10,2,7,2,3,1,0,0,40,1,2
140,61,7,66614,9,2,7,2,1,1,0,0,40,1,1
141,27,3,232782,10,1,6,4,1,2,0,0,40,1,1
142,19,3,316868,10,1,5,4,1,1,0,0,30,6,1
143,45,3,196584,11,1,4,1,1,2,0,1564,40,1,2
144,70,3,105376,10,1,11,6,1,1,0,0,40,1,1
145,31,3,185814,9,1,8,5,2,2,0,0,30,1,1
146,22,3,175374,10,2,5,2,1,1,0,0,24,1,1
147,36,3,108293,9,7,5,5,1,2,0,0,24,1,1
148,64,3,181232,7,2,7,2,1,1,0,2179,40,1,1
149,43,6,174662,10,3,12,1,1,2,0,0,40,1,1
150,47,5,186009,10,3,1,5,1,2,0,0,38,6,1
151,34,3,198183,9,1,1,1,1,2,0,0,40,1,1
152,33,3,163003,13,1,2,6,3,2,0,0,40,14,1
153,21,3,296158,9,1,7,4,1,1,0,0,35,1,1
154,52,6,252903,9,3,12,1,1,1,0,0,45,1,2
155,48,3,187715,9,2,7,2,1,1,0,0,46,1,1
156,23,3,214542,13,1,3,1,1,1,0,0,40,1,1
157,71,2,494223,10,5,6,5,2,1,0,1816,2,1,1
158,29,3,191535,9,3,7,1,1,1,0,0,60,1,1
159,42,3,228456,13,5,5,6,2,1,0,0,50,1,1
160,68,6,38317,2,3,12,1,1,2,0,0,20,1,1
161,25,3,252752,9,1,5,5,1,2,0,0,40,1,1
162,44,7,78374,14,3,2,5,3,2,0,0,40,1,1
163,28,3,88419,9,1,2,1,3,2,0,0,40,10,1
164,45,2,201080,14,2,6,2,1,1,0,0,40,1,2
165,36,3,207157,10,3,5,5,1,2,0,0,40,6,1
166,39,4,235485,12,1,2,1,1,1,0,0,42,1,1
167,46,1,102628,14,7,13,5,1,1,0,0,40,1,1
168,18,3,25828,7,1,3,4,1,1,0,0,16,1,1
169,66,5,54826,11,7,4,1,1,2,0,0,20,1,1
170,27,3,124953,9,1,5,1,1,1,0,1980,40,1,1
171,28,1,175325,9,2,13,2,1,1,0,0,40,1,1
172,51,3,96062,10,2,6,2,1,1,0,1977,40,1,2
173,27,3,428030,13,1,7,1,1,1,0,0,50,1,1
174,28,1,149624,13,2,4,2,1,1,0,0,40,1,2
175,27,3,253814,9,4,6,5,1,2,0,0,25,1,1
176,21,3,312956,9,1,7,4,2,1,0,0,40,1,1
177,34,3,483777,9,1,3,1,2,1,0,0,40,1,1
178,18,3,183930,9,1,5,4,1,1,0,0,12,1,1
179,33,3,37274,13,2,4,2,1,1,0,0,65,1,1
180,44,5,181344,10,2,2,2,2,1,0,0,38,1,2
181,43,3,114580,10,3,1,1,1,2,0,0,40,1,1
182,30,3,633742,10,1,7,1,2,1,0,0,45,1,1
183,40,3,286370,4,2,10,2,1,1,0,0,40,6,2
184,37,4,29054,10,2,1,2,1,1,0,0,42,1,2
185,34,3,304030,9,2,1,2,2,1,0,0,40,1,1
186,41,2,143129,13,3,2,1,1,2,0,0,40,1,1
187,53,6,135105,13,3,12,1,1,2,0,0,50,1,1
188,31,3,99928,14,2,4,3,1,2,0,0,50,1,1
189,58,1,109567,16,2,4,2,1,1,0,0,1,1,2
190,38,3,155222,10,3,10,1,2,2,0,0,28,1,1
191,24,3,159567,10,2,10,2,1,1,0,0,40,1,1
192,41,5,523910,13,2,7,2,2,1,0,0,40,1,1
193,47,3,120939,10,2,11,2,1,1,0,0,45,1,1
194,41,4,130760,13,2,11,2,1,1,0,0,24,1,1
195,23,3,197387,3,2,8,6,1,1,0,0,40,6,1
196,36,3,99374,10,3,7,1,1,1,0,0,40,1,1
197,40,4,56795,14,1,2,1,1,2,14084,0,55,1,2
198,35,3,138992,14,2,4,6,1,1,7298,0,40,1,2
199,24,2,32921,9,1,6,1,1,1,0,0,40,1,1
200,26,3,397317,14,1,4,1,1,2,0,1876,40,1,1
201,19,6,170653,9,1,12,4,1,1,0,0,40,15,1
202,51,3,259323,13,2,2,2,1,1,0,0,50,1,2
203,42,5,254817,10,1,4,1,1,2,0,1340,40,1,1
204,37,1,48211,9,3,1,5,1,2,0,0,35,1,1
205,18,3,140164,7,1,6,4,1,2,0,0,40,1,1
206,36,3,128757,13,2,5,2,2,1,7298,0,36,1,2
207,35,3,36270,9,3,7,1,1,1,0,0,60,1,1
208,58,7,210563,9,2,6,3,1,2,15024,0,35,1,2
209,17,3,65368,7,1,6,4,1,2,0,0,12,1,1
210,44,5,160943,9,2,8,2,2,1,0,0,40,1,1
211,37,3,208358,9,2,7,2,1,1,0,0,40,1,2
212,35,3,153790,10,1,6,1,4,2,0,0,40,1,1
213,60,3,85815,9,2,7,2,3,1,0,0,40,1,1
214,54,7,125417,4,2,10,2,1,1,0,0,40,1,2
215,37,3,635913,13,1,2,1,2,1,0,0,60,1,2
216,50,3,313321,12,3,6,1,1,2,0,0,40,1,1
217,38,3,182609,13,2,6,2,1,1,0,0,50,16,1
218,45,3,109434,13,2,4,2,1,1,0,0,55,1,1
219,25,3,255004,6,1,7,1,1,1,0,0,40,1,1
220,31,3,197860,10,2,3,2,1,1,0,0,40,1,1
221,64,6,187656,2,3,12,1,1,1,0,0,40,1,1
222,90,3,51744,9,1,5,1,2,1,0,2206,40,1,1
223,54,3,176681,9,2,1,2,2,1,0,0,20,1,1
224,53,5,140359,1,1,10,1,1,2,0,0,35,1,1
225,18,3,243313,9,1,6,4,1,2,0,0,40,1,1
226,60,6,24215,6,3,12,1,4,2,0,0,10,1,1
227,66,2,167687,9,2,9,2,1,1,1409,0,50,1,1
228,75,3,314209,11,7,1,1,1,2,0,0,20,17,1
229,65,3,176796,9,3,1,1,1,2,0,0,40,1,1
230,35,3,538583,7,5,8,1,2,1,3674,0,40,1,1
231,41,3,130408,9,3,6,5,2,2,0,0,38,1,1
232,25,3,159732,10,1,1,1,1,1,0,0,42,1,1
233,33,3,110978,10,3,7,6,5,2,0,0,40,1,1
234,28,3,76714,15,1,4,1,1,1,0,0,55,1,2
235,59,1,268700,9,2,5,2,1,1,0,0,40,1,1
236,40,1,170525,10,1,1,1,1,2,0,0,38,1,1
237,41,3,180138,13,2,2,2,1,1,0,0,50,13,2
238,38,5,115076,14,2,2,2,1,1,0,0,70,1,2
239,23,3,115458,9,1,8,4,1,1,0,0,40,1,1
240,40,3,347890,13,2,4,2,1,1,0,0,40,1,2
241,41,2,196001,9,2,5,3,1,2,0,0,20,1,1
242,24,1,273905,12,2,13,2,1,1,0,0,50,1,1
243,20,6,119156,10,1,12,4,1,1,0,0,20,1,1
244,38,3,179488,10,3,7,1,1,1,0,1741,40,1,1
245,56,3,203580,9,2,1,2,1,1,0,0,35,5,1
246,58,3,236596,9,2,1,2,1,1,0,0,45,1,2
247,32,3,183916,9,1,5,1,1,2,0,0,34,1,1
248,40,3,207578,12,2,11,2,1,1,0,1977,60,1,2
249,45,3,153141,9,2,1,2,1,1,0,0,40,5,1
250,41,3,112763,15,2,4,3,1,2,0,0,40,1,2
251,42,3,390781,13,2,1,3,2,2,0,0,40,1,1
252,59,5,171328,6,7,5,5,2,2,0,0,30,1,1
253,19,5,27382,10,1,1,4,1,1,0,0,40,1,1
254,58,3,259014,10,1,8,1,1,1,0,0,20,1,1
255,42,2,303044,9,2,9,2,3,1,0,0,40,18,2
256,20,3,117789,9,1,5,4,1,2,0,0,40,1,1
257,32,3,172579,9,5,5,1,1,2,0,0,30,1,1
258,45,3,187666,11,7,2,1,1,2,0,0,45,1,1
259,50,3,204518,4,3,7,1,1,1,0,0,40,1,1
260,36,3,150042,13,3,4,4,1,2,0,0,40,1,1
261,45,3,98092,9,2,6,2,1,1,0,0,60,1,1
262,17,3,245918,7,1,5,4,1,1,0,0,12,1,1
263,59,3,146013,10,2,6,2,1,1,4064,0,40,1,1
264,26,3,378322,7,2,7,2,1,1,0,0,40,1,1
265,37,7,257295,10,2,2,2,3,1,0,0,75,19,2
266,19,6,218956,10,1,12,4,1,1,0,0,24,11,1
267,64,3,21174,9,2,2,2,1,1,0,0,40,1,2
268,33,3,185480,13,1,4,1,1,2,0,0,45,1,1
269,33,3,222205,9,2,7,3,1,2,0,0,40,1,2
270,61,3,69867,9,2,2,2,1,1,0,0,40,1,2
271,17,3,191260,5,1,5,4,1,1,1055,0,24,1,1
272,50,2,30653,14,2,9,2,1,1,2407,0,98,1,1
273,27,5,209109,14,1,4,4,1,1,0,0,35,1,1
274,30,3,70377,9,3,4,4,1,2,0,0,40,1,1
275,43,3,477983,9,2,3,2,2,1,0,0,40,1,1
276,44,3,170924,10,2,7,2,1,1,7298,0,40,1,2
277,35,3,190174,10,1,2,1,1,2,0,0,40,1,1
278,25,3,193787,10,1,11,4,1,2,0,0,40,1,1
279,24,3,279472,10,2,10,3,1,2,7298,0,48,1,2
280,22,3,34918,13,1,4,1,1,2,0,0,15,12,1
281,42,5,97688,10,2,7,2,1,1,5178,0,40,1,2
282,34,3,175413,12,3,6,5,2,2,0,0,45,1,1
283,60,3,173960,13,3,4,1,1,2,0,0,42,1,1
284,21,3,205759,9,1,3,4,1,1,0,0,40,1,1
285,57,4,425161,14,2,6,2,1,1,15024,0,40,1,2
286,41,3,220531,15,2,4,2,1,1,0,0,60,1,2
287,50,3,176609,10,3,5,1,1,1,0,0,45,1,1
288,25,3,371987,13,1,2,1,1,2,0,0,40,1,1
289,50,3,193884,4,2,7,2,1,1,0,0,40,20,1
290,36,3,200352,13,2,4,2,1,1,0,0,45,1,1
291,31,3,127595,9,3,4,1,1,2,0,0,40,1,1
292,29,5,220419,13,1,13,1,1,1,0,0,56,1,1
293,21,3,231931,10,1,6,4,1,1,0,0,45,1,1
294,27,3,248402,13,1,11,5,2,2,0,0,40,1,1
295,65,3,111095,9,2,8,2,1,1,0,0,16,1,1
296,37,7,57424,13,3,6,1,1,2,0,0,60,1,1
297,39,6,157443,14,2,12,3,3,2,3464,0,40,5,1
298,24,3,278130,9,1,7,4,1,1,0,0,40,1,1
299,38,3,169469,9,3,6,1,1,1,0,0,80,1,1
300,48,3,146268,13,2,1,2,1,1,7688,0,40,1,2
301,21,3,153718,10,1,5,1,3,2,0,0,25,1,1
302,31,3,217460,9,2,8,2,1,1,0,0,45,1,2
303,55,3,238638,9,2,6,2,1,1,4386,0,40,1,2
304,24,3,303296,10,2,1,3,3,2,0,0,40,21,1
305,43,3,173321,9,3,1,1,1,2,0,0,40,1,1
306,26,3,193945,12,1,11,1,1,1,0,0,45,1,1
307,46,3,83082,12,1,4,1,1,2,0,0,33,1,1
308,35,3,193815,12,2,1,2,1,1,0,0,40,1,2
309,41,7,34987,10,2,9,2,1,1,0,0,54,1,2
310,26,3,59306,13,1,6,1,1,1,0,0,40,1,1
311,34,3,142897,14,2,2,2,3,1,7298,0,35,22,2
312,19,6,860348,10,1,12,4,2,2,0,0,25,1,1
313,36,2,205607,13,3,4,1,2,2,0,0,40,1,2
314,22,3,199698,10,1,6,4,1,1,0,0,15,1,1
315,24,3,191954,10,1,10,1,1,1,0,0,40,1,1
316,77,2,138714,10,2,6,2,1,1,0,0,40,1,1
317,22,3,399087,3,2,10,6,1,2,0,0,40,6,1
318,29,3,423158,10,1,11,1,1,2,0,0,40,1,1
319,62,3,159841,9,7,5,1,1,2,0,0,24,1,1
320,39,2,174308,9,2,2,2,1,1,0,0,40,1,1
321,43,3,50356,10,2,7,2,1,1,0,1485,50,1,1
322,35,3,186110,9,3,8,1,1,1,0,0,45,1,1
323,29,3,200381,7,1,2,1,1,2,0,0,40,1,1
324,76,2,174309,14,2,7,2,1,1,0,0,10,1,1
325,63,2,78383,9,2,9,2,1,1,0,0,45,1,1
326,23,6,211601,11,1,12,4,2,2,0,0,15,1,1
327,43,3,187728,10,2,4,3,1,2,0,1887,50,1,2
328,58,2,321171,9,2,3,2,1,1,0,0,40,1,1
329,66,3,127921,9,1,8,1,1,1,2050,0,55,1,1
330,41,3,206565,10,1,7,1,2,1,0,0,45,1,1
331,26,3,224563,13,1,1,1,1,1,0,0,40,1,1
332,47,3,178686,11,1,5,1,1,1,0,0,40,1,1
333,55,5,98545,6,2,1,2,1,1,0,0,40,1,1
334,53,3,242606,9,2,8,2,1,1,0,0,40,1,1
335,17,3,270942,3,1,5,6,1,1,0,0,48,6,1
336,30,3,94235,9,1,7,6,1,1,0,0,40,1,1
337,49,3,71195,14,1,4,1,1,1,0,0,60,1,1
338,19,3,104112,9,1,6,5,2,1,0,0,30,23,1
339,45,3,261192,9,2,5,2,2,1,0,0,40,1,1
340,26,3,94936,12,1,6,1,1,1,0,0,40,1,1
341,38,3,296478,11,2,7,2,1,1,7298,0,40,1,2
342,36,1,119272,9,2,13,2,1,1,7298,0,40,1,2
343,33,3,85043,9,1,9,1,1,1,0,0,20,1,1
344,22,1,293364,10,1,13,4,2,2,0,0,40,1,1
345,43,2,241895,13,1,6,1,1,1,0,0,42,1,1
346,67,6,36135,7,2,12,2,1,1,0,0,8,1,1
347,30,6,151989,11,3,12,5,1,2,0,0,40,1,1
348,56,3,101128,12,4,5,1,1,1,0,0,25,13,1
349,31,3,156464,13,1,4,4,1,1,0,0,25,1,1
350,33,3,117963,13,2,2,2,1,1,0,0,40,1,2
351,26,3,192262,9,2,5,2,1,1,0,0,40,1,1
352,33,3,111363,13,2,2,2,1,1,0,0,40,1,2
353,46,5,329752,7,2,8,2,1,1,0,0,30,1,1
354,59,6,372020,13,2,12,2,1,1,0,0,40,1,2
355,38,4,95432,9,2,1,2,1,1,0,0,40,1,2
356,65,3,161400,7,7,5,5,5,1,0,0,40,1,1
357,40,3,96129,11,2,11,2,1,1,0,0,40,1,2
358,42,3,111949,9,2,1,3,1,2,0,0,35,1,1
359,26,2,117125,5,2,7,2,1,1,0,0,40,24,1
360,36,3,348022,6,2,5,3,1,2,0,0,24,1,1
361,62,3,270092,14,2,4,2,1,1,0,0,40,1,2
362,43,3,180609,13,2,8,2,1,1,0,0,45,1,1
363,43,3,174575,13,3,2,1,1,1,0,1564,45,1,2
364,22,3,410439,9,4,6,1,1,1,0,0,55,1,1
365,28,3,92262,9,2,7,2,1,1,0,0,40,1,1
366,56,2,183081,10,2,6,2,1,1,0,0,45,1,1
367,22,3,362589,12,1,6,1,1,2,0,0,15,1,1
368,57,3,212448,13,3,2,1,1,2,0,0,45,1,2
369,39,3,481060,9,3,6,5,1,2,0,0,40,1,1
370,26,4,185885,10,1,1,5,1,2,0,0,15,1,1
371,17,3,89821,7,1,5,4,1,1,0,0,10,1,1
372,40,1,184018,11,2,10,2,1,1,0,0,38,1,2
373,45,3,256649,9,2,10,2,2,1,0,0,40,1,1
374,44,3,160323,9,1,7,1,2,1,0,0,40,1,1
375,20,5,350845,10,1,1,4,1,2,0,0,10,1,1
376,33,3,267404,9,2,7,3,1,2,0,0,40,1,1
377,23,3,35633,10,1,6,1,1,1,0,0,40,1,1
378,46,2,80914,14,3,2,1,1,1,0,0,30,1,1
379,38,3,172927,9,2,6,2,1,1,0,0,50,1,1
380,54,3,174319,9,3,8,1,1,1,0,0,40,1,1
381,46,3,214955,3,3,7,1,1,2,0,2339,45,1,1
382,25,3,344991,10,2,7,2,1,1,0,0,40,1,1
383,46,3,108699,10,3,6,1,1,2,0,0,40,1,1
384,36,5,117312,10,2,8,3,1,2,0,0,40,1,1
385,23,3,396099,9,1,5,1,1,2,0,0,25,1,1
386,29,3,134152,9,5,10,1,1,1,0,0,40,1,1
387,44,3,162028,10,2,1,3,1,2,0,2415,6,1,2
388,19,3,25429,10,1,1,4,1,2,0,0,16,1,1
389,19,3,232392,9,1,5,6,1,2,0,0,40,1,1
390,35,3,220098,9,2,5,3,1,2,0,0,40,1,2
391,27,3,301302,13,1,7,1,1,1,0,0,50,1,1
392,46,2,277946,12,5,7,1,1,1,0,0,40,1,1
393,34,1,98101,13,2,2,2,1,1,7688,0,45,5,2
394,34,3,196164,9,1,5,1,1,2,0,0,35,1,1
395,44,3,115562,10,2,11,2,1,1,0,0,40,1,1
396,45,3,96975,10,3,3,5,1,2,0,0,40,1,1
397,20,6,137300,9,1,12,6,1,2,0,0,35,1,1
398,25,3,86872,13,2,2,2,1,1,0,0,55,1,2
399,52,7,132178,13,2,2,2,1,1,0,0,50,1,2
400,20,3,416103,10,1,3,4,1,1,0,0,40,1,1
401,28,3,108574,10,1,5,1,1,2,0,0,40,1,1
402,50,1,288353,13,2,13,2,1,1,0,0,40,1,2
403,34,3,227689,11,3,11,1,1,2,0,0,64,1,1
404,28,3,166481,4,2,3,2,5,1,0,2179,40,8,1
405,41,3,445382,14,2,2,2,1,1,0,1977,65,1,2
406,28,3,110145,9,2,1,2,1,1,0,0,40,1,1
407,46,2,317253,9,2,7,2,1,1,0,0,25,1,1
408,28,6,123147,10,2,12,3,1,2,0,1887,40,1,2
409,32,3,364657,10,2,2,2,1,1,0,0,50,1,1
410,41,5,42346,10,3,5,1,2,2,0,0,24,1,1
411,24,3,241951,9,1,3,5,2,2,0,0,40,1,1
412,33,3,118500,10,3,2,5,1,2,0,0,40,1,1
413,46,3,188386,16,2,2,2,1,1,15024,0,60,1,2
414,31,1,1033222,10,2,10,2,1,1,0,0,40,1,1
415,35,3,92440,8,3,7,1,1,1,0,0,50,1,2
416,52,3,190762,2,2,10,2,1,1,0,0,40,6,1
417,30,3,426017,7,1,5,4,1,2,0,0,19,1,1
418,34,5,243867,7,5,10,1,2,1,0,0,40,1,1
419,34,1,240283,9,3,8,5,1,2,0,0,40,1,1
420,20,3,61777,10,2,6,2,1,1,0,0,30,1,1
421,17,3,175024,7,1,3,4,1,1,2176,0,18,1,1
422,32,1,92003,13,2,2,3,1,2,0,0,40,1,2
423,29,3,188401,9,3,9,1,1,1,0,0,40,1,1
424,33,3,228528,6,1,7,5,1,2,0,0,35,1,1
425,25,3,133373,9,2,8,2,1,1,0,0,60,1,1
426,36,4,255191,14,1,4,1,1,1,0,1408,40,1,1
427,23,3,204653,9,1,3,1,1,1,0,0,72,25,1
428,63,7,222289,9,2,2,2,1,1,0,0,40,1,2
429,47,5,287480,14,2,4,2,1,1,0,0,40,1,1
430,80,6,107762,9,7,12,1,1,1,0,0,24,1,1
431,17,6,202521,7,1,12,4,1,1,0,0,40,1,1
432,40,2,204116,13,4,4,1,1,2,2174,0,40,1,1
433,30,3,29662,12,2,5,3,1,2,0,0,25,1,2
434,27,3,116358,10,1,7,4,3,1,0,1980,40,14,1
435,33,3,208405,14,2,4,2,1,1,0,0,50,1,2
436,34,5,284843,9,1,9,1,2,1,594,0,60,1,1
437,34,5,117018,10,1,13,1,1,2,0,0,40,1,1
438,23,3,81281,10,2,1,2,1,1,0,0,40,1,1
439,42,5,340148,10,2,1,3,1,2,0,0,40,1,1
440,29,3,363425,13,1,4,1,1,1,0,0,40,1,1
441,45,3,45857,9,3,1,1,1,2,0,0,28,1,1
442,24,4,191073,9,1,14,4,1,1,0,0,40,1,1
443,44,3,116632,10,2,4,2,1,1,0,0,40,1,2
444,27,3,405855,5,1,7,6,1,1,0,0,40,6,1
